# WT P(E=0.1) P(E=0.2) P(E=0.5) P(E=1.0) P(E=2.0) P(E=5.0)
2.675019487215071212e+00 9.288113567656885658e-03 1.857632285346567588e-02 4.644248675716068642e-02 9.289705874600431845e-02 1.858936425096086309e-01 4.668776177711462250e-01
2.737229242731700651e+00 9.492056369156669227e-03 1.898418934267809277e-02 4.746181788884927533e-02 9.493330723107273883e-02 1.899461693253375327e-01 4.765616039782424318e-01
2.799438998248330535e+00 9.659276122406029383e-03 1.931860875334051944e-02 4.829751376336055557e-02 9.660215815562755992e-02 1.932628323329113329e-01 4.843788583971331274e-01
2.861648753764959974e+00 9.789125907472545976e-03 1.957828744167423862e-02 4.894634374320362691e-02 9.789717536770091433e-02 1.958309706305029763e-01 4.903031437244487756e-01
2.923858509281589413e+00 9.881103385739638603e-03 1.976222094826585174e-02 4.940580056341394716e-02 9.881337247083848974e-02 1.976408492346186929e-01 4.943164406240561082e-01
2.986068264798219296e+00 9.934852742396974717e-03 1.986969787762705303e-02 4.967410992962940919e-02 9.934723128119275770e-02 1.986856895317954397e-01 4.964087988969907439e-01
3.048278020314848735e+00 9.950166061906608184e-03 1.990030264323481429e-02 4.975023726914251654e-02 9.949671451063268890e-02 1.989616873990584511e-01 4.965781097717479886e-01
3.110487775831478174e+00 9.926984131175950118e-03 1.985391706768132453e-02 4.963389161280227363e-02 9.926127266029946550e-02 1.984680192390013975e-01 4.948298187094842260e-01
3.172697531348107614e+00 9.865396667387149252e-03 1.973072083201096033e-02 4.932552659696119030e-02 9.864184513346252459e-02 1.972068362491389004e-01 4.911766018342996754e-01
3.234907286864737497e+00 9.765641969662015864e-03 1.953119077277819943e-02 4.882633858590601506e-02 9.764085559963134320e-02 1.951832473014763480e-01 4.856380299377826004e-01
3.297117042381366936e+00 9.628105995968271047e-03 1.925609902981795934e-02 4.813826192636482676e-02 9.626220166345028639e-02 1.924052908460133493e-01 4.782402418689738477e-01
3.359326797897996375e+00 9.453320868893926726e-03 1.890651005215182937e-02 4.726396135651000224e-02 9.451123891208329519e-02 1.888838962717250547e-01 4.690156445499952809e-01
3.421536553414625814e+00 9.241962816116163631e-03 1.848377647385110803e-02 4.620682160258662158e-02 9.239475943347003062e-02 1.846328351617927410e-01 4.580026507698254368e-01
3.483746308931255697e+00 8.994849553569149794e-03 1.798953387601964077e-02 4.497093420669883573e-02 8.992096491519412094e-02 1.796686628689929677e-01 4.452454593108772229e-01
3.545956064447885137e+00 8.712937121457861589e-03 1.742569445533362696e-02 4.356108163938898770e-02 8.709943444963388903e-02 1.740106508152983456e-01 4.307938758124495449e-01
3.608165819964514576e+00 8.397316185369620850e-03 1.679443962376114124e-02 4.198271876049551599e-02 8.394108718595075236e-02 1.676807098903758397e-01 4.147031678683479328e-01
3.670375575481144459e+00 8.049207816790084416e-03 1.609821156817381818e-02 4.024195170126709103e-02 8.045813998311324156e-02 1.607033052906348125e-01 3.970339446565613883e-01
3.732585330997773898e+00 7.669958769332418241e-03 1.533970380253873826e-02 3.834551424988317386e-02 7.666406023092785238e-02 1.531053631072455679e-01 3.778520499316634362e-01
3.794795086514403337e+00 7.261036268929444912e-03 1.452185074922074902e-02 3.630074183143248978e-02 7.257351401801952206e-02 1.449161689415938981e-01 3.572284571752153415e-01
3.857004842031032776e+00 6.824022338109348579e-03 1.364781638963701721e-02 3.411554318182473400e-02 6.820230983696705385e-02 1.361672588024975816e-01 3.352391567029017194e-01
3.919214597547662660e+00 6.360607676273819823e-03 1.272098202805400230e-02 3.179836982338980766e-02 6.356733802775234310e-02 1.268923025233105739e-01 3.119650262095557958e-01
3.981424353064292099e+00 5.872585119611070659e-03 1.174493321570542308e-02 2.935818345767062312e-02 5.868650617146275311e-02 1.171269799300209691e-01 2.874916782527454640e-01
4.043634108580921982e+00 5.361842705904847073e-03 1.072344588562178062e-02 2.680442139839729274e-02 5.357867065706398146e-02 1.069088499939357673e-01 2.619092802094392658e-01
4.105843864097550977e+00 4.830356371029588189e-03 9.660471751580827424e-03 2.414696017476308451e-02 4.826356465546942365e-02 9.627721321452931136e-02 2.353123440632864938e-01
4.168053619614180860e+00 4.280182305353532821e-03 8.560123027414592509e-03 2.139607744182962443e-02 4.276172274673138707e-02 8.527296749867423198e-02 2.077994849038464764e-01
4.230263375130810743e+00 3.713448999592485009e-03 7.426656525523177288e-03 1.856241234123422179e-02 3.709440245847338280e-02 7.393845783088699719e-02 1.794731482351774043e-01
4.292473130647439739e+00 3.132349010865129093e-03 6.264457195840605203e-03 1.565692446130941690e-02 3.128350298607093793e-02 6.231732006412475655e-02 1.504393071013923056e-01
4.354682886164069622e+00 2.539130480791654005e-03 5.078021168667622674e-03 1.269085155121784866e-02 2.535148137735053833e-02 5.045431920093697981e-02 1.208071306562134295e-01
4.416892641680698617e+00 1.936088438440835592e-03 3.871938366722533099e-03 9.675666148751762077e-03 1.932126647667502251e-02 3.839518257890611741e-02 9.068862618387130148e-02
4.479102397197328500e+00 1.325555921770264463e-03 2.650874753444012154e-03 6.623031286006509852e-03 1.321617093455016746e-02 2.618642842112846661e-02 6.019825678259060897e-02
4.541312152713958383e+00 7.098949519086224322e-04 1.419554286026579546e-03 3.544755441179391758e-03 7.059801599745613512e-03 1.387519026066217319e-02 2.945253698816792734e-02
4.603521908230587378e+00 9.148739520185500602e-05 1.827406428403363843e-04 4.527469082433550006e-04 8.759686209365361020e-04 1.509037796275933610e-03 -1.430391433435048310e-03
4.665731663747217262e+00 -5.272742516214522918e-04 -1.054781204189215961e-03 -2.641032240833370362e-03 -5.311406405581992757e-03 -1.086420521535409224e-02 -3.233120142122532237e-02
4.727941419263847145e+00 -1.143996117512181832e-03 -2.288223501024113510e-03 -5.724612424347910559e-03 -1.147838289663853997e-02 -2.319664537944736774e-02 -6.312983833783850085e-02
4.790151174780476140e+00 -1.756292218579705994e-03 -3.512814235183449492e-03 -8.786062870969460481e-03 -1.760109399762630616e-02 -3.544050569872143203e-02 -9.370599170745513851e-02
4.852360930297106023e+00 -2.361793689157659810e-03 -4.723815599950377704e-03 -1.181353781207676937e-02 -2.365583919151031597e-02 -4.754831248631490037e-02 -1.239395794213364876e-01
4.914570685813735906e+00 -2.958157946744882898e-03 -5.916542327601821000e-03 -1.479532236643136232e-02 -2.961917643417954354e-02 -5.947308237809603715e-02 -1.537112430909834682e-01
4.976780441330364901e+00 -3.543077755367493760e-03 -7.086379820612954614e-03 -1.771987793776766407e-02 -3.546801344449334453e-02 -7.116850863026863427e-02 -1.829028534200815848e-01
5.038990196846994785e+00 -4.114290152299074008e-03 -8.228802010519089410e-03 -2.057588694708167507e-02 -4.117969777508532353e-02 -8.258914585647847417e-02 -2.113980245673449110e-01
5.101199952363624668e+00 -4.669585203603815633e-03 -9.339388875144469596e-03 -2.335229672341466653e-02 -4.673210529012646053e-02 -9.369059233148967214e-02 -2.390826364914776514e-01
5.163409707880253663e+00 -5.206814554625074747e-03 -1.041384354618817357e-02 -2.603836237970254264e-02 -5.210372667877561509e-02 -1.044296689675889706e-01 -2.658453642213781665e-01
5.225619463396883546e+00 -5.723899742329929471e-03 -1.144800894072985943e-02 -2.862368850384064412e-02 -5.727375163843095862e-02 -1.147645940554395810e-01 -2.915782128021741082e-01
5.287829218913512541e+00 -6.218840237336813181e-03 -1.243788385204025806e-02 -3.109826949948779271e-02 -6.222215036949668709e-02 -1.246551528545953857e-01 -3.161770561884574837e-01
5.350038974430142424e+00 -6.689721184490638080e-03 -1.337963843717130882e-02 -3.345252841628546664e-02 -6.692975203341158807e-02 -1.340628611213046106e-01 -3.395421775273892440e-01
5.412248729946772308e+00 -7.134720812009189700e-03 -1.426962904114261951e-02 -3.567735411509965343e-02 -7.137831983799092228e-02 -1.429511216738914570e-01 -3.615788071493390432e-01
5.474458485463401303e+00 -7.552117480502502922e-03 -1.510441230011683005e-02 -3.776413662049547121e-02 -7.555062242843034459e-02 -1.512853731202787322e-01 -3.821976531798076948e-01
5.536668240980031186e+00 -7.940296344553503249e-03 -1.588075846877389299e-02 -3.970480052015192690e-02 -7.943050127885167844e-02 -1.590332299091930801e-01 -4.013154179232510388e-01
5.598877996496661069e+00 -8.297755601044844512e-03 -1.659566392012618713e-02 -4.149183627880506653e-02 -8.300293379770856683e-02 -1.661646129172685837e-01 -4.188552910700741316e-01
5.661087752013290064e+00 -8.623112300017129681e-03 -1.724636276925411993e-02 -4.311832934307438525e-02 -8.625409188111057834e-02 -1.726518698487360948e-01 -4.347474086330789245e-01
5.723297507529919947e+00 -8.915107695536196586e-03 -1.783033757588019241e-02 -4.457798692276428859e-02 -8.917139567064946704e-02 -1.784698848024464379e-01 -4.489292647465379926e-01
5.785507263046549831e+00 -9.172612115835190524e-03 -1.834532908430559425e-02 -4.586516234387705976e-02 -9.174356229687766207e-02 -1.835961764514871808e-01 -4.613460624105164554e-01
5.847717018563178826e+00 -9.394629333864201737e-03 -1.878934496301353299e-02 -4.697487687889621150e-02 -9.396064941554449490e-02 -1.880109843818149329e-01 -4.719509892892933545e-01
5.909926774079808709e+00 -9.580300421323186336e-03 -1.916066751016264752e-02 -4.790283897033109639e-02 -9.581409337093745038e-02 -1.916973432457458049e-01 -4.807054062373983250e-01
5.972136529596438592e+00 -9.728907071266584827e-03 -1.945786029524218530e-02 -4.864546077452923389e-02 -9.729674184856175467e-02 -1.946411445006858698e-01 -4.875789396955577115e-01
6.034346285113067587e+00 -9.839874376435983269e-03 -1.967977371132969416e-02 -4.919987196374099592e-02 -9.840288090749818584e-02 -1.968311856195574805e-01 -4.925494744102338340e-01
6.096556040629697470e+00 -9.912773052596279486e-03 -1.982554941664183001e-02 -4.956393073583154757e-02 -9.912825631067168075e-02 -1.982592067729045671e-01 -4.956030495415482684e-01
6.158765796146326466e+00 -9.947321098310720963e-03 -1.989462364840743902e-02 -4.973623199231890640e-02 -9.947008909847852853e-02 -1.989199150894988277e-01 -4.967336682966998485e-01
6.220975551662956349e+00 -9.943384884780944247e-03 -1.988672939648165883e-02 -4.971611265691499443e-02 -9.942708537751258902e-02 -1.988109966983613031e-01 -4.959430377598480488e-01
